"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","108","twitter click","chromium","Sat Apr 19 10:43:28 GMT 2025","failed","Sat Apr 19 10:43:28 GMT 2025","Product page","productPage.spec.js","",""
"","110","pagination 50 click","chromium","Sat Apr 19 10:43:24 GMT 2025","failed","Sat Apr 19 10:43:24 GMT 2025","Main page","mainPage.spec.js","",""
"","0","Product comment","chromium","Sat Apr 19 10:43:28 GMT 2025","skipped","Sat Apr 19 10:43:28 GMT 2025","Product page","productPage.spec.js","",""
"","0","pagination 10 click","chromium","Sat Apr 19 10:43:24 GMT 2025","skipped","Sat Apr 19 10:43:24 GMT 2025","Main page","mainPage.spec.js","",""
"","0","imageClick","chromium","Sat Apr 19 10:43:24 GMT 2025","skipped","Sat Apr 19 10:43:24 GMT 2025","Main page","mainPage.spec.js","",""
