"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4364","twitter click","chromium","Thu Apr 10 16:31:21 GMT 2025","passed","Thu Apr 10 16:31:25 GMT 2025","Product page","productPage.spec.js","",""
"","1689","pagination 10 click","chromium","Thu Apr 10 16:31:15 GMT 2025","passed","Thu Apr 10 16:31:17 GMT 2025","Main page","mainPage.spec.js","",""
"","12571","Product comment","chromium","Thu Apr 10 16:31:25 GMT 2025","passed","Thu Apr 10 16:31:38 GMT 2025","Product page","productPage.spec.js","",""
"","2089","pagination 50 click","chromium","Thu Apr 10 16:31:13 GMT 2025","passed","Thu Apr 10 16:31:15 GMT 2025","Main page","mainPage.spec.js","",""
"","3515","imageClick","chromium","Thu Apr 10 16:31:17 GMT 2025","passed","Thu Apr 10 16:31:21 GMT 2025","Main page","mainPage.spec.js","",""
