"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1380","pagination 10 click","chromium","Sat Apr 19 10:17:56 GMT 2025","passed","Sat Apr 19 10:17:58 GMT 2025","Main page","mainPage.spec.js","",""
"","3351","imageClick","chromium","Sat Apr 19 10:17:58 GMT 2025","passed","Sat Apr 19 10:18:01 GMT 2025","Main page","mainPage.spec.js","",""
"","5454","pagination 50 click","chromium","Sat Apr 19 10:17:48 GMT 2025","passed","Sat Apr 19 10:17:54 GMT 2025","Main page","mainPage.spec.js","",""
"","4497","twitter click","chromium","Sat Apr 19 10:18:28 GMT 2025","passed","Sat Apr 19 10:18:33 GMT 2025","Product page","productPage.spec.js","",""
"","8185","Product comment","chromium","Sat Apr 19 10:18:33 GMT 2025","failed","Sat Apr 19 10:18:41 GMT 2025","Product page","productPage.spec.js","",""
