"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2735","pagination 50 click","chromium","Thu Apr 10 16:26:57 GMT 2025","passed","Thu Apr 10 16:27:00 GMT 2025","Main page","mainPage.spec.js","",""
"","1554","pagination 10 click","chromium","Thu Apr 10 16:27:00 GMT 2025","passed","Thu Apr 10 16:27:02 GMT 2025","Main page","mainPage.spec.js","",""
"","3515","imageClick","chromium","Thu Apr 10 16:27:02 GMT 2025","passed","Thu Apr 10 16:27:06 GMT 2025","Main page","mainPage.spec.js","",""
"","12420","Product comment","chromium","Thu Apr 10 16:27:10 GMT 2025","passed","Thu Apr 10 16:27:23 GMT 2025","Product page","productPage.spec.js","",""
"","4177","twitter click","chromium","Thu Apr 10 16:27:06 GMT 2025","passed","Thu Apr 10 16:27:10 GMT 2025","Product page","productPage.spec.js","",""
