"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2706","pagination 10 click","chromium","Thu Apr 10 15:39:54 GMT 2025","passed","Thu Apr 10 15:39:57 GMT 2025","Main page","mainPage.spec.js","",""
"","13453","Product comment","chromium","Thu Apr 10 15:40:08 GMT 2025","passed","Thu Apr 10 15:40:22 GMT 2025","Product page","productPage.spec.js","",""
"","4682","imageClick","chromium","Thu Apr 10 15:39:57 GMT 2025","passed","Thu Apr 10 15:40:02 GMT 2025","Main page","mainPage.spec.js","",""
"","6502","twitter click","chromium","Thu Apr 10 15:40:02 GMT 2025","passed","Thu Apr 10 15:40:08 GMT 2025","Product page","productPage.spec.js","",""
"","2401","pagination 50 click","chromium","Thu Apr 10 15:39:51 GMT 2025","passed","Thu Apr 10 15:39:54 GMT 2025","Main page","mainPage.spec.js","",""
